name	bsever	status	type	lastModified	contrbutionPI	contributor	abstract	filepath
2ZaPa-NR	0	published	orbital	Mon, 11 Jul 2016 17:05:01 GMT	George A. Petersson	Jan M.L. Martin	Ranasinghe-Petersson 2ZaPa-NR basis set	/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_6/2ZAPA-NR.xml
2ZaPa-NR_CV		published	orbital	Wed, 11 Oct 2017 19:15:24 GMT	George A. Petersson	Jan M.L. Martin	core-valence functions for 2ZaPa-NR	/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_21/2ZAPA-NR_CV.xml
3-21++G		published	orbital	Mon, 15 Jan 2007 23:47:08 GMT		Dr. David Feller	VDZD    Valence Double Zeta + Diffuse Functions on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/3-21PPG-AGG.xml
3-21++G*		published	orbital	Mon, 15 Jan 2007 23:47:07 GMT		Dr. David Feller	VDZD    Valence Double Zeta + Diffuse Functions + Polarization	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/3-21PPGS-AGG.xml
3-21G	0,1	published	orbital	Thu, 25 Aug 2016 17:27:20 GMT		Dr. David Feller	VDZ     Valence Double Zeta: 2 Funct.'s/Valence AO	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/3-21G.xml
3-21G*		published	orbital	Mon, 15 Jan 2007 23:47:08 GMT		Dr. David Feller	VDZP    Valence Double Zeta + Polarization on Second Row Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/3-21GS-AGG.xml
3-21GSP		published	orbital	Mon, 15 Jan 2007 23:47:07 GMT		Dr. David Feller	VDZD    Valence Double Zeta	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/3-21GSP.xml
3ZaPa-NR	0	published	orbital	Mon, 11 Jul 2016 17:14:51 GMT	George A. Petersson	Jan M.L. Martin	Ranasinghe-Petersson 3ZaPa-NR basis set	/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_5/3ZAPA-NR.xml
3ZaPa-NR_CV		published	orbital	Wed, 11 Oct 2017 19:34:15 GMT	George A. Petersson	Jan M.L. Martin	3ZaPa-NR core-valence functions	/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_10/3ZAPA-NR_CV.xml
4-22GSP		published	orbital	Mon, 15 Jan 2007 23:47:04 GMT		Dr. David Feller	VDZD    Valence Double Zeta	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/4-22GSP.xml
