010, 012	Gangbuk District	37.639611, 127.025656
013, 015	Dobong District	37.695000, 127.046944
015, 019	Nowon District	37.654192, 127.056794
020, 023	Jungnang District	37.606400, 127.092600
024, 026	Dongdaemun District	37.571000, 127.009700
027, 029	Seongbuk District	37.589167, 127.018333
030, 032	Jongno District	37.599444, 126.974722
033, 035	Eunpyeong District	37.602697, 126.929111
036, 038	Seodaemun District	37.579167, 126.936667
039, 042	Mapo District	37.563800, 126.908400
043, 044	Yongsan District	37.538333, 126.965556
045, 046	Jung District	37.556000, 126.970000
047, 048	Seongdong District	37.563333, 127.036944
049, 051	Gwangjin District	37.537900, 127.082100
052, 054	Gangdong District	37.530000, 127.123889
055, 059	Songpa District	37.514167, 127.106667
060, 064	Gangnam District	37.496667, 127.027500
065, 068	Seocho District	37.483611, 127.032500
069, 071	Dongjak District	37.512403, 126.939253
072, 074	Yeongdeungpo District	37.526389, 126.896389
075, 078	Gangseo District	37.548611, 126.850833
079, 081	Yangcheon District	37.516872, 126.866397
082, 084	Guro District	37.495000, 126.887000
085, 086	Geumcheon District	37.451853, 126.902036
087, 089	Gwanak District	37.478400, 126.951600
100, 101	Gimpo City	37.700000, 126.600000
102, 107	Goyang City	37.650000, 126.800000
108, 109	Paju City	37.866667, 126.800000
110	Yeoncheon County	38.100000, 127.083333
111, 112	Pocheon City	37.894736, 127.200172
113	Dongducheon City	37.916667, 127.066667
114, 115	Yangju City	37.785131, 127.045720
116, 118	Uijeongbu City	37.743164, 127.034480
119	Guri City	37.600000, 127.150000
120, 123	Namyangju City	37.633333, 127.216667
124	Gapyeong County	37.831650, 127.509592
125	Yangpyeong County	37.483333, 127.550000
126	Yeoju City	37.300000, 127.633333
127, 128	Gwangju City	37.366667, 127.283333
129, 130	Hanam City	37.516667, 127.200000
131, 137	Seongnam City	37.433333, 127.150000
138	Gwacheon City	37.433333, 127.000000
139, 141	Anyang City	37.383333, 126.933333
142, 143	Gwangmyeong City	37.477222, 126.866389
144, 148	Bucheon City	37.500000, 126.783333
149, 151	Siheung City	37.379860, 126.802887
152, 157	Ansan City	37.316667, 126.833333
158, 159	Gunpo City	37.350000, 126.950000
160, 161	Uiwang City	37.344829, 126.968325
162, 167	Suwon City	37.266667, 127.016667
168, 172	Yongin City	37.233333, 127.200000
173, 174	Icheon City	37.266667, 127.433333
175, 176	Anseong City	37.000000, 127.266667
177, 180	Pyeongtaek City	36.992236, 127.112821
181	Osan City	37.149799, 127.077116
182, 187	Hwaseong City	37.200000, 126.766667
210, 212	Gyeyang District	37.536944, 126.737778
213, 214	Bupyeong District	37.507000, 126.722000
215, 218	Namdong District	37.443333, 126.731944
219, 220	Yeonsu District	37.409444, 126.678333
221, 222	Nam District	37.460000, 126.650000
223, 224	Jung District	37.472222, 126.622222
225	Dong District	37.470000, 126.640000
226, 229	Seo District	37.550000, 126.680000
230	Ganghwa County	37.738889, 126.489444
231	Ongjin County	37.213889, 126.178333
240	Cheorwon County	38.209167, 127.217500
241	Hwacheon County	38.107500, 127.714444
242, 244	Chuncheon City	37.866667, 127.733333
245	Yanggu County	38.107952, 127.989507
246	Inje County	38.066667, 128.166667
247	Goseong County	38.380960, 128.469601
248, 249	Sokcho City	38.204167, 128.591944
250	Yangyang County	38.066667, 128.616667
251	Hongcheon County	37.692500, 127.880000
252	Hoengseong County	37.489722, 127.987500
253	Pyeongchang County	37.366667, 128.400000
254, 256	Gangneung City	37.750000, 128.900000
257, 258	Donghae City	37.524771, 129.114282
259	Samcheok City	37.450000, 129.165000
260	Taebaek City	37.166667, 128.983333
261	Jeongseon County	37.379167, 128.664722
262	Yeongwol County	37.187222, 128.473333
263, 265	Wonju City	37.341667, 127.920833
