correct_answer
Adam Sandler
Adrien Brody
Al Pacino
Alan Alda
Alan Arkin
Alan Rickman
Albert Brooks
Albert Finney
Alec Baldwin
Alfred Molina
Amanda Peet
Amy Adams
Andie MacDowell
Andy Garcia
Angelina Jolie
Anna Paquin
Anne Hathaway
Annette Bening
Anthony Hopkins
Anthony Quinn
Antonio Banderas
Arnold Schwarzenegger
Barbara Hershey
Beau Bridges
Ben Affleck
Ben Kingsley
Ben Stiller
Benicio Del Toro
Bill Cosby
Bill Murray
Bill Pullman
Billy Crystal
Blair Underwood
Blythe Danner
Brad Pitt
Bradley Cooper
Brendan Fraser
Brian Cox
Bridget Fonda
Brooke Shields
Bruce Willis
Burt Reynolds
Cameron Diaz
Candice Bergen
Cate Blanchett
Catherine Keener
Catherine Zeta-Jones
Charlie Sheen
Charlize Theron
Chevy Chase
Chris Cooper
Chris Rock
Christian Bale
Christian Slater
Christoph Waltz
Christopher Plummer
Christopher Walken
Clint Eastwood
Clive Owen
Colin Farrell
Colin Firth
Dan Aykroyd
Daniel Craig
Daniel Day-Lewis
Daniel Radcliffe
Danny DeVito
Danny Glover
Daryl Hannah
David Duchovny
David Hasselhoff
David Schwimmer
David Spade
Debra Winger
Demi Moore
Denis Leary
Dennis Hopper
Dennis Miller
Denzel Washington
Don Cheadle
Donald Sutherland
Drew Barrymore
Dustin Hoffman
Ed Burns
Ed Harris
Eddie Murphy
Edward Norton
Elijah Wood
Elisabeth Shue
Elizabeth Perkins
Ellen Barkin
Ellen Degeneres
Ellen Page
Elliott Gould
Emily Blunt
Emma Stone
Emma Thompson
Emma Watson
Ethan Hawke
Eva Mendes
Ewan McGregor
Forest Whitaker
Frances McDormand
Frank Langella
Gabriel Byrne
Gary Oldman
Gary Sinise
Gene Hackman
Geoffrey Rush
George Clooney
George Lopez
Glenn Close
Goldie Hawn
Greg Kinnear
Guy Pearce
Gwyneth Paltrow
Halle Berry
Harrison Ford
Helen Hunt
Helen Mirren
Helena Bonham Carter
Holly Hunter
Hope Davis
Hugh Grant
Hugh Jackman
Ian Holm
Isabella Rossellini
Jack Black
Jack Nicholson
Jackie Chan
Jake Gyllenhaal
James Gandolfini
James McAvoy
James Woods
Jamie Bell
Jamie Foxx
Jamie Lee Curtis
Jane Fonda
Jason Bateman
Javier Bardem
Jeff Bridges
Jeff Daniels
Jeff Goldblum
Jeffrey Wright
Jennifer Aniston
Jennifer Connelly
Jennifer Jason Leigh
Jennifer Lawrence
Jennifer Lopez
Jeremy Irons
Jeremy Renner
Jerry Lewis
Jessica Chastain
Jill Clayburgh
Jim Belushi
Jim Carrey
Jimmy Smits
Joan Cusack
Joaquin Phoenix
Jodie Foster
Joe Pesci
John C. Reilly
John Cusack
John Goodman
John Hawkes
John Leguizamo
John Malkovich
John Travolta
John Turturro
Johnny Depp
Jon Hamm
Jon Voight
Jonah Hill
Joseph Gordon-Levitt
Josh Brolin
Jude Law
Judi Dench
Julia Roberts
Julianne Moore
Juliette Binoche
Kate Hudson
Kate Winslet
Kathleen Turner
Kathy Bates
Keanu Reeves
Keira Knightley
Kelly MacDonald
Kenneth Branagh
Kevin Bacon
Kevin Costner
Kevin James
Kevin Spacey
Kiefer Sutherland
Kim Basinger
Kirsten Dunst
Kristin Scott Thomas
Kurt Russell
Kyle MacLachlan
Laura Dern
Laura Linney
Leonardo DiCaprio
Liam Neeson
Liev Schreiber
Lindsay Lohan
Liv Tyler
Lucy Liu
Macaulay Culkin
Maggie Gyllenhaal
Malcolm McDowell
Marion Cotillard
Marisa Tomei
Mark Ruffalo
Mark Wahlberg
Martin Lawrence
Martin Sheen
Mary Steenburgen
Mary-Louise Parker
Matt Damon
Matthew Broderick
Meg Ryan
Mel Gibson
Meryl Streep
Michael Douglas
Michael Fassbender
Michael J. Fox
Michael Keaton
Michael Shannon
Michelle Pfeiffer
Mickey Rourke
Mike Myers
Minnie Driver
Mira Sorvino
Miranda Richardson
Morgan Freeman
Naomi Watts
Natalie Portman
Nathan Lane
Nicholas Cage
Nick Nolte
Nicole Kidman
Oliver Platt
Orlando Bloom
Owen Wilson
Patricia Arquette
Paul Dano
Paul Giamatti
Paul Newman
Paul Rudd
Penelope Cruz
Peter Coyote
Peter Gallagher
Peter O'toole
Peter Sarsgaard
Philip Seymour Hoffman
Pierce Brosnan
Rachel McAdams
Ralph Fiennes
Reese Witherspoon
Rene Russo
Renee Zellweger
Richard Gere
Ricky Gervais
Rob Lowe
Rob Schneider
Robert De Niro
Robert Downey Jr.
Robert Duvall
Robert Redford
Robin Williams
Roger Moore
Rosanna Arquette
Rosie Perez
Roy Scheider
Russell Crowe
Ryan Gosling
Ryan Reynolds
Sally Fields
Salma Hayek
Sam Shepard
Sam Worthington
Samuel L. Jackson
Sandra Bullock
Sarah Jessica Parker
Scarlett Johansson
Sean Connery
Sean Penn
Seth Rogen
Sharon Stone
Sidney Poitier
Sigourney Weaver
Sissy Spacek
Stanley Tucci
Steve Buscemi
Steve Carell
Steve Martin
Steven Seagal
Sylvester Stallone
Tea Leoni
Tilda Swinton
Tim Blake Nelson
Tim Robbins
Timothy Dalton
Tobey Maguire
Tom Arnold
Tom Cruise
Tom Hanks
Tom Hardy
Tom Wilkinson
Tommy Lee Jones
Toni Collette
Tracey Ullman
Uma Thurman
Val Kilmer
Vanessa Redgrave
Viggo Mortensen
Vince Vaughn
Will Ferrell
Will Smith
Willem Dafoe
William Hurt
Winona Ryder
Woody Allen
Zach Galifianakis
